mi,Cty TNHH Microsoft Mobile VN,,0,mi
mt,Cty TNHH MTV MT và CTĐT BN,,0,mt
nd,Hội nông dân tỉnh Bắc Ninh,,0,nd
nh,Ngân Hàng Chính Sách XH - Bắc Ninh,,0,nh
OK,Ok,,0,ok
ps,Cty TNHH PS Global Việt Nam - BN,,0,ps
ql,Đội quản lý trật tự đô thị - Bắc Ninh,,0,ql
samsung,Công ty Samsung Electronics Vietnam,,0,ss
sc,Cty cổ phần bệnh viện mắt Sông Cầu,,0,sc
se,CTy TNHH Hà Nội Seowonintech,,0,se
se1,Cty TNHH Seojin system vn - Tiên Du - BN,,0,se
sp,Trường Cao Đẳng Sư Phạm Bắc Ninh,,0,sp
sq,Thân nhân sỹ quan công an tỉnh Bắc Ninh,,0,sq
ss,Công ty TNHH Sam Sung Display BN - YP,,0,ss
st,Cty TNHH SenTech Hà Nội - BN,,0,st
tk,Cty DVTM SX Cửa Thịnh Kiệm,,0,tk
tm,Công ty Cổ Phần Thảm May BN,,0,tm
tn,Thân Nhân Sỹ Quan Công An tỉnh Bắc Ninh,,0,tn
tr,Trường CĐ Nghề CĐ & XD Bắc Ninh,,0,cd
tt,Công ty TNHH Tín Thành - Tiên Du - Bắc Ninh,,0,tt
tx,Cty Taxin Printing Vina - TD - BN,,0,tx
vi,Cty CP Vigalacera Tiên Sơn,,0,vi
vp,Cty TNHH Viet Pacific Clothing - BN,,0,vp
ws,Công ty TNHH WelStory Việt Nam,,0,ws
xd,Cty XD Viglacera T.Cty Viglacera TD - BN,,0,xd
xk,Cty CP Xe khách BN,,0,xk
xn,Công ty cổ phần Xuất nhập khẩu Bắc Ninh,,0,xn
xskt,Công ty TNHH Xổ số Kiến Thiết - BN,,0,xs
yh,Bệnh Viện Y Học Cổ Truyền BN,,0,yh
yt,Trung tâm Y tế Dự Phòng tỉnh Bắc Ninh,,0,dp
01_KXD,Không Xác định,01,1,kx
01001,Quận Ba đình,01,1,bd
01002,Quận Hoàn Kiếm,01,1,hk
01003,Quận Tây Hồ,01,1,th
01004,Quận Long Biên,01,1,lb
01005,Quận Cầu Giấy,01,1,cg
01006,Quận đống đa,01,1,dd
01007,Quận Hai Bà Trưng,01,1,hb
01008,Quận Hoàng Mai,01,1,hm
01009,Quận Thanh Xuân,01,1,tx
01016,Huyện Sóc Sơn,01,1,ss
01017,Huyện đông Anh,01,1,da
01018,Huyện Gia Lâm,01,1,gl
01019,Huyện Từ Liêm,01,1,tl
01020,Huyện Thanh Trì,01,1,tt
01250,Huyện Mê Linh,01,1,ml
01268,Quận Hà đông,01,1,hd
01269,Thành Phố Sơn Tây,01,1,st
01271,Huyện Ba Vì,01,1,bv
01272,Huyện Phúc Thọ,01,1,pt
01273,Huyện đan Phượng,01,1,dp
01274,Huyện Hoài đức,01,1,hd
01275,Huyện Quốc Oai,01,1,qo
01276,Huyện Thạch Thất,01,1,tt
01277,Huyện Chương Mỹ,01,1,cm
01278,Huyện Thanh Oai,01,1,to
01279,Huyện Thường Tín,01,1,tt
01280,Huyện Phú Xuyên,01,1,px
01281,Huyện ứng Hòa,01,1,uh
01282,Huyện Mỹ đức,01,1,md
02_KXD,Không Xác định,02,1,kx
02024,Thành Phố Hà Giang,02,1,hg
02026,Huyện đồng Văn,02,1,dv
02027,Huyện Mèo Vạc,02,1,mv
02028,Huyện Yên Minh,02,1,ym
02029,Huyện Quản Bạ,02,1,qb
02030,Huyện Vị Xuyên,02,1,vx
02031,Huyện Bắc Mê,02,1,bm
02032,Huyện Hoàng Su Phì,02,1,hs
02033,Huyện Xín Mần,02,1,xm
02034,Huyện Bắc Quang,02,1,bq
02035,Huyện Quang Bình,02,1,qb
04_KXD,Không Xác định,04,1,kx
04040,Thị Xã Cao Bằng,04,1,tc
04042,Huyện Bảo Lâm,04,1,bl
04043,Huyện Bảo Lạc,04,1,bl
